"address","city","state","zipcode","AUTO_UNIQUE_ID_2019-08-09_cegarza_zillow2","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"5405 San Diego","Mission","TX","78572",204,"USCGeocoder",140.6555,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1605 Palazzo","Mission","TX","78572",205,"USCGeocoder",78.2399,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","3944.06269526482","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1880464827762,-98.305283807007,"Relaxed"
"7207 Bogey Dr","Mission","TX","78572",206,"USCGeocoder",156.2247,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","392.732285156846","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2526855639108,-98.4086555894205,"Relaxed"
"3102 Highland Ave","Mission","TX","78572",207,"USCGeocoder",265.6221,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","92.2054868208714","FeatureClassBased","ReturnAll","","AddressPoint","","","1",26.2387191,-98.3098037,"Relaxed;Soundex"
"2405 W Interstate Highway 2","Mission","TX","78572",208,"USCGeocoder",1078.1057,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2209 Red River Dr","Mission","TX","78572",209,"USCGeocoder",62.4946,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1006.85800850391","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.184254769967,-98.2972285068375,"Relaxed"
"1911 Audrey Dr","Mission","TX","78572",210,"USCGeocoder",78.1246,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","836.120719663799","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1943737241581,-98.2975122101563,"Relaxed"
"2015 Sabinal St","Mission","TX","78572",211,"USCGeocoder",171.8633,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","602.304007947445","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1912733583705,-98.2954140564369,"Relaxed"
"1911 Adams St","Mission","TX","78572",212,"USCGeocoder",140.6265,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1145.06950813532","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2283062573196,-98.3442105829988,"Relaxed"
"211 S Mayberry St","Mission","TX","78572",213,"USCGeocoder",125.0137,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1010.30074632913","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2017260565336,-98.3196582124603,"Relaxed"
"2607 Redstone Dr","Mission","TX","78572",214,"USCGeocoder",93.7131,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2057.27792684501","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2035402655582,-98.2816917116237,"Exact"
"2011 Sabinal St","Mission","TX","78572",215,"USCGeocoder",187.4507,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","602.320453051478","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1912767091377,-98.2958530220402,"Relaxed"
"1404 Encantado Cir","Palmview","TX","78572",216,"USCGeocoder",281.2514,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2037.3479417637","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.23811168838,-98.3858505468103,"Relaxed"
"513 Castillos Y Diamantes St","Mission","TX","0",217,"USCGeocoder",1046.8755,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"3500 San Andres Ct","Mission","TX","78572",218,"USCGeocoder",78.1089,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","752.003318116069","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1574546572876,-98.2961578109977,"Relaxed"
"3208 San Angelo St","Mission","TX","78572",219,"USCGeocoder",125.0012,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8054.68169659356","LinearInterpolationAddressRange","StreetSegment","97.0414201183432","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1593376289369,-98.2984609537826,"Relaxed"
"1607 Jonathon Dr","Mission","TX","78572",220,"USCGeocoder",218.7546,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",26.194723,-98.3038216,"Exact"
"3401 Plantation Grove Blvd","Mission","TX","78572",221,"USCGeocoder",1140.6372,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2701 San Lucas","Mission","TX","78572",222,"USCGeocoder",218.7568,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","976.466328278184","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1776417396476,-98.3009932624156,"Relaxed"
"1605 Crown Pointe Blvd","Mission","TX","78572",223,"USCGeocoder",265.6338,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1498.42894111574","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2197548185809,-98.2996833149877,"Relaxed"
"3005 Santa Rita","Mission","TX","78572",224,"USCGeocoder",296.8884,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1944.6310851216","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1716868027356,-98.2914206104324,"Exact"
"3911 Pelican Way","Mission","TX","78572",225,"USCGeocoder",203.1238,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","9705.20555555784","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1900516476433,-98.3765172910832,"Exact"
"2014 Sabinal St # 5","Mission","TX","78572",226,"USCGeocoder",93.7272,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7997.22338747978","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1911185160674,-98.2960566242007,"Exact"
"221 W 14th St","Mission","TX","78572",227,"USCGeocoder",359.6295,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2640.81386496621","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2201336903964,-98.3263701625256,"Exact"
"1005 Dennise Ct","Mission","TX","78572",228,"USCGeocoder",187.5116,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1370.98873171005","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1928509681766,-98.2993534958437,"Exact"
"4004 San Clemente","Mission","TX","78572",229,"USCGeocoder",46.8305,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","939.919466495514","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1706933448927,-98.2878249382588,"Relaxed"
"902 Cimarron Dr","Mission","TX","78572",230,"USCGeocoder",62.5277,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6418.19084196204","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1924911121137,-98.295574348783,"Exact"
"4103 Santa Marina St","Mission","TX","78572",231,"USCGeocoder",140.6722,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","861.998205147684","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1618918112248,-98.3005059027743,"Relaxed"
"1817 Dolores Del Rio Ave","Mission","TX","78572",232,"USCGeocoder",46.9463,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3634.13961302923","LinearInterpolationAddressRange","StreetSegment","95.0073964497041","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2287445948078,-98.3507579864037,"Relaxed;Soundex"
"1715 School Ln","Mission","TX","78572",233,"USCGeocoder",203.125,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","585.772635042667","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2142897170462,-98.2978236614877,"Relaxed"
"2102 Green Gate Cir E","Palmview","TX","78572",234,"USCGeocoder",249.9983,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2114 Hole In One Dr","Mission","TX","78572",235,"USCGeocoder",124.9687,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4336.83148325753","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2489605706697,-98.4083367321438,"Exact"
"1013 Frio St","Mission","TX","78572",236,"USCGeocoder",46.9181,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","869.185782134533","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1923360857363,-98.3002047711358,"Relaxed"
"2805 Santa Laura","Mission","TX","78572",237,"USCGeocoder",218.7766,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3018.22296788442","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1738445563029,-98.2866565277311,"Exact"
"2911 Silver Oak Dr","Mission","TX","78572",238,"USCGeocoder",156.1357,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"4007 Green Jay Dr","Mission","TX","78572",239,"USCGeocoder",140.6258,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2294.36512666591","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1940147439244,-98.3770768183841,"Exact"
"3301 Santa Olivia St","Mission","TX","78572",240,"USCGeocoder",124.9854,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","634.582690551877","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1700204142145,-98.3000207213534,"Relaxed"
"4102 Santa Veronica","Mission","TX","78572",241,"USCGeocoder",109.3165,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2201 Washington Ave","Mission","TX","78572",242,"USCGeocoder",187.5049,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","945.262713436037","ArealInterpolationGeometricCentroid","Parcel","90.0828402366864","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.230825091907,-98.3413350239492,"Relaxed"
"1023 W Palma Vista Dr","Palmview","TX","78572",243,"USCGeocoder",812.5136,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1015 Red River St","Mission","TX","78572",244,"USCGeocoder",281.2514,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2578.82505639346","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1916418562991,-98.2977347235695,"Exact"
"4005 Pelican Way","Mission","TX","78572",245,"USCGeocoder",203.1219,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","9705.20555555784","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1898080776852,-98.3747354605884,"Exact"
"611 S Castillos Y Diamantes St","Mission","TX","0",246,"USCGeocoder",937.5009,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"3304 San Gabriel St","Mission","TX","78572",247,"USCGeocoder",171.854,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","464.532256290317","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1619769721476,-98.2971570750752,"Relaxed"
"4106 Pelican Way","Mission","TX","78572",248,"USCGeocoder",124.8846,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2752.76878061815","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1903313953456,-98.3772523994082,"Exact"
"2301 Fairway Ct","Mission","TX","78572",249,"USCGeocoder",124.9972,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","893.231794595718","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2516863083163,-98.4147749113864,"Relaxed"
"2911 W Loop 374","Palmview","TX","78572",250,"USCGeocoder",1640.6267,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"7476 Floyd Dr","Mission","TX","78572",251,"USCGeocoder",46.8804,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","320.551826238632","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2442504594156,-98.415661119586,"Relaxed"
"3509 Oriole Dr","Mission","TX","0",252,"USCGeocoder",1109.4003,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"4109 Wescan Ln","Mission","TX","78572",253,"USCGeocoder",78.0977,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6530.88019685078","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.205129756223,-98.3748258784906,"Exact"
"4402 Santa Inez St","Mission","TX","78572",254,"USCGeocoder",171.8735,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","638.111454993021","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1586050111443,-98.2989405361061,"Relaxed"
"00 W Business 83 Ave","Mission","TX","78572",255,"USCGeocoder",187.4843,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1926 Lost Greens Dr","Mission","TX","78572",256,"USCGeocoder",156.2536,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","15833.9833496663","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.250057488139,-98.4141696240425,"Exact"
"3710 Mallard Drive Mission Tx","Mission","TX","0",257,"USCGeocoder",1703.1238,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"211 N Tecate Dr","Mission","TX","78572",258,"USCGeocoder",187.4962,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5735.36428787338","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2120143299176,-98.354812991257,"Relaxed"
"2316 Fairway Ct","Mission","TX","78572",259,"USCGeocoder",296.8842,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","13167.1672207279","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2516540819027,-98.4134969058068,"Exact"
"404 Scorpio St","Mission","TX","78572",260,"USCGeocoder",328.1235,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",26.2050854,-98.300328,"Exact"
"705 S Bentsen Palm Dr","Mission","TX","78572",261,"USCGeocoder",203.1436,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2654.18586873106","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2035916623496,-98.3759037044013,"Exact"
"3406 San Angelo St","Mission","TX","78572",262,"USCGeocoder",31.2781,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8054.68169659356","LinearInterpolationAddressRange","StreetSegment","97.0414201183432","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1591412454498,-98.2968686679639,"Relaxed"
"7729 Villa Rama South St","Mission","TX","78572",263,"USCGeocoder",562.4691,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2407 E Bogey Dr","Mission","TX","78572",264,"USCGeocoder",109.3667,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6056.49170306933","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2510197183443,-98.4087167598938,"Exact"
"2308 Colorado St","Mission","TX","78572",265,"USCGeocoder",218.7478,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","13945.2368994137","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.192719055638,-98.2928184046459,"Exact"
"2700 Santa Olivia St","Mission","TX","78572",266,"USCGeocoder",31.2478,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1488.37370604277","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.175557692155,-98.2994985716402,"Relaxed"
"1305 Marla Dr","Palmview","TX","78572",267,"USCGeocoder",78.1182,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","10592.181048705","LinearInterpolationAddressRange","StreetSegment","94.0828402366864","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2335463263171,-98.3853575436738,"Relaxed"
"2511 Brentwood Dr","Mission","TX","78572",268,"USCGeocoder",93.768,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2321.78094221922","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2131061310592,-98.2791216620923,"Exact"
"114 Rio Grande Dr","Mission","TX","78572",269,"USCGeocoder",124.9556,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","891.847017221153","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1885680275341,-98.2939269674582,"Relaxed"
"1008 Travis St","Mission","TX","78572",270,"USCGeocoder",140.603,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1504.66631854186","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1953488578285,-98.3072378297315,"Exact"
"3601 Daniel Rd","Palmview","TX","78572",271,"USCGeocoder",437.4969,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","680.665840320289","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2084370348764,-98.3687059751136,"Relaxed"
"1010 Rio Grande Dr","Mission","TX","78572",272,"USCGeocoder",46.8786,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2161.56709256402","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1830006866022,-98.2939853290524,"Exact"
"3603 Denia Ct","Mission","TX","78572",273,"USCGeocoder",156.2597,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"3010 San Patricio St","Mission","TX","78572",274,"USCGeocoder",171.8875,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","588.032154235989","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1605578913303,-98.2999948605074,"Relaxed"
"1909 Jonathon Dr","Mission","TX","78572",275,"USCGeocoder",203.1103,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","780.416016742587","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1936153695499,-98.2978648570499,"Relaxed"
"416 Rio Grande Dr","Mission","TX","78572",276,"USCGeocoder",62.6049,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","15379.4465245145","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1876875283115,-98.3001687623517,"Exact"
