Artist,Song
parachute,kiss me slowly
parachute,cant help
parade of lights,golden - attom remix
paradise fears,battle scars (reprise)
paramore,crushcrushcrush
paramore,pressure
paramore,still into you
paramore,thats what you get
paramore,brick by boring brick
paramore,grow up
paramore,aint it fun
paramore,misery business
parov stelar,all night long (exdended mix)
parov stelar,all night - extended club version
parov stelar,ragtime cat
parov stelar,chambermaid swing - original
parov stelar,le piaf
parov stelar,kisskiss
parov stelar,voodoo sonic
parov stelar,catgroove
parov stelar,libella swing
parov stelar,the mojo radio gang (radioversion)
parov stelar trio,the invisible girl
party hit kings,bitches and bottles (lets get it started) tribute to dj khaled lil wayne t.i. future
passenger,let her go
passenger,night vision binoculars
passion pit,take a walk (el poco maro remix)
passion pit,whole life story
passion pit,ill be alright
passion pit,sleepyhead
pat benatar,hit me with your best shot
pat benatar,heartbreaker
pat benatar,love is a battlefield
patent pending,up in my tower (feat. peach mario)
patent pending,dance till we die (bonus track)
patrick lentz,wonder wall
patrick ohearn,beyond this moment
patrick stump,love selfish love
patrick stump,this city
paty cantu,dicen por ahi
paul anka,diana
paul simon,me and julio down by the schoolyard
paul simon,you can call me al
paulo londra,adan y eva
peabo bryson,a whole new world (aladdins theme)
pearl jam,angel
pearl jam,alive
pearl jam,last kiss
pearl jam,even flow
pedro capo,calma - remix
peking duk,high
penguin prison,multi millionaire - prince language instrumental remix
penguin prison,the worse it gets
pentatonix,la la latch
pentatonix,rather be
people in planes,last man standing
pepper,give it up (the dirty hot sex song)
perfume genius,grid
perfume genius,queen
periphery,overture
periphery,scarlet
periphery,the parade of ashes - written by vocalist spencer sotelo
periphery,icarus lives
perrin lamb,little bit
pet shop boys,love etc.
peter bjorn and john,amsterdam
peter bjorn and john,young folks
peter bjorn and john,the chills
peter frampton,do you feel like we do
petit biscuit,sunset lover
pg.lost,still alright
phantogram,when im small
phantogram,as far as i can see
phantogram,mouthful of diamonds
phantogram,nothing but trouble
pharrell williams,happy - from despicable me 2
phil collins,youll be in my heart
phil collins,you cant hurry love - 2016 remaster
phil collins,against all odds (take a look at me now) - 2016 remaster
philharmonic wind orchestra,moulin rouge - from moulin rougue
phoenix,if i ever feel better
phoenix,1901
phoenix,lisztomania
pilot,magic
pinboys,my everlong
pink gloves,80s girls
pinn panelle,snow falls up
piso 21,te vi
pitbull,time of our lives
pitbull,fireball
pixies,hey
pixies,debaser
pixies,wave of mutilation
pixies,break my body
pj simas,call me crazy
plain white ts,shouldve gone to bed
plain white ts,rhythm of love
plain white ts,hey there delilah
plain white ts,let me take you there
plain white ts,our time now
plain white ts,hate (i really dont like you)
plain white ts,take me away
players since creation,thnks fr th mmrs
plumb,faithful
pnk,a million dreams
pnk,true love
poison,nothin but a good time - remastered 2006
poison,nothin but a good time
poison,talk dirty to me
polo y los apson,el ultimo beso
pomplamoose,pharrell mashup
poolside,harvest moon
pop evil,trenches
pop evil,breathe
pop evil,divide
pop evil,deal with the devil
pop evil,flawed
porcelain raft,drifting in and out
porter robinson,say my name (radio edit)
portugal. the man,purple yellow red and blue
portugal. the man,number one (feat. richie havens son little)
portugal. the man,rich friends
portugal. the man,keep on
portugal. the man,tidal wave
portugal. the man,noise pollution (feat. mary elizabeth winstead zoe manville) - version a vocal up mix 1.3
portugal. the man,feel it still
portugal. the man,live in the moment
portugal. the man,easy tiger
portugal. the man,the sun
portugal. the man,holy roller (hallelujah)
portugal. the man,all your light (times like these)
portugal. the man,modern jesus
post malone,rockstar
post malone,psycho (feat. ty dolla ign)
post malone,wow.
post malone,sunflower - spider-man: into the spider-verse
post malone,circles
powerman 5000,when worlds collide
powerspace,sleep everyone...
pretenders,the man you are
pretty sister,pony
priestess,lay down
primus,john the fisherman
prince,lets go crazy
prince,funknroll
prince,purple rain
prince,1999
prince,kiss
prince,raspberry beret
priscilla g,im so lucky
protest the hero,bloodmeat
protest the hero,sequoia throne
prozac daisies,jenny 8675309
psy,gangnamseutail
psychostick,girl directions
puddle of mudd,she hates me
puddle of mudd,blurry
puddle of mudd,bleed - non-lp version
puhdys,teenage wasteland
punch brothers,julep
punchline,somewhere in the dark
punk shop boys,im not sick but im not well
purity ring,obedear
purity ring,push pull
purity ring,fineshrine
purity ring,crawlersout
pyramid,coles memories - original mix
q lazzarus,goodbye horses
qft sounds,exotic nature
quadron,favorite star
queen,bicycle race
queen,youre my best friend
queen,crazy little thing called love
queen,breakthru
queen,somebody to love
queen,seven seas of rhye
queen,killer queen - remastered 2011
queen,fat bottomed girls - single version
queen,we are the champions
queen,fat bottomed girls - remastered 2011
queen,bohemian rhapsody
queen,under pressure (rah mix)
queen,we will rock you
queen,dont stop me now
queen,another one bites the dust
queens of the stone age,the evil has landed
queens of the stone age,go with the flow
queens of the stone age,i sat by the ocean
queens of the stone age,the way you used to do
queens of the stone age,3s 7s
queens of the stone age,domesticated animals
queens of the stone age,no one knows
queens of the stone age,villains of circumstance
queens of the stone age,fortress
queens of the stone age,suture up your future
queens of the stone age,little sister
quiet riot,cum on feel the noize
quiet riot,metal health (bang your head)
quietdrive,carry on my wayward son
quietdrive,say say say
quietdrive,africa
quietdrive,time after time
quietdrive,rush together
r. kelly,ignition - remix
r. kelly,i believe i can fly
r.e.m.,losing my religion
r.e.m.,orange crush
r.e.m.,its the end of the world as we know it (and i feel fine)
r.e.m.,let me in - remix
ra ra riot,beta love
ra ra riot,dance with me
ra ra riot,angel please
radical something,say yes
radical something,acid rain
radical something,escape
radical something,you feel amazing
radical something,lookin for love
radical something,be easy (feat. kinetics)
radiohead,creep - acoustic
radiohead,burn the witch
rae sremmurd,td up
rage against the machine,testify
rage against the machine,killing in the name
rainer maria,breakfast of champions
ram jam,black betty
rameses b,new horizons (vip)
ramin djawadi,im all out of beer
ramin djawadi,jons honor
ramin djawadi,a marine and his rifle
ramin djawadi,heir to winterfell
ramin djawadi,goodbye brother
ramon ayala y sus bravos del norte,tragos amargos
ramones,i wanna be sedated
rancid,salvation
random forest,shadows fall
ras g,juju
rascal flatts,what hurts the most
rascal flatts,life is a highway
ratt,round and round
ray charles,whatd i say pt. 1 2
red fang,prehistoric dog
red hot chili peppers,higher ground - 2003 - remaster
red hot chili peppers,tell me baby
red hot chili peppers,give it away
red hot chili peppers,otherside
red hot chili peppers,under the bridge
red hot chili peppers,dani california
red hot chili peppers,snow (hey oh)
red sparowes,in illusions of order
redbone,come and get your love
reel big fish,take on me
reel big fish,i know you too well to like you anymore
reel big fish,sell out
rehab,1980
reik,voy a olvidarte
relient k,when i go down
relient k,high of 75
relient k,deathbed
relient k,i dont need a soul
relient k,must have done something right
relient k,curl up and die
relient k,im taking you with me
relient k,be my escape
relient k,my girls ex-boyfriend
relient k,savannah
relient k,getting into you
relient k,the only thing worse than beating a dead horse is betting on one
relient k,sadie hawkins dance
reo speedwagon,take it on the run
reo speedwagon,keep on loving you
reo speedwagon,roll with the changes
reo speedwagon,cant fight this feeling
rev theory,hell yeah
rev theory,undefeated
reverend horton heat,psychobilly freakout
rhian sheehan,little sines
rhian sheehan,part 3
rhyme spectacle,i love my chick
rich chigga,glow like dat
richard armitage,misty mountains
richard cheese,hot for teacher
richard cheese,lets get it started
richard cheese,ice ice baby
richard cheese,creep
richard cheese,welcome to the jungle
richard rodgers,edelweiss the sound of music
rick astley,never gonna give you up
rick james,super freak - pt. 1
rick ross,push it
rick ross,stay schemin
rick springfield,jessies girl
rick wakeman,morning has broken
ricky martin,perdoname - urban version
ricky martin,livin la vida loca
riddlin kids,pick up the pieces
rihanna,stay
rihanna,drunk on love
rihanna,love on the brain
rihanna,disturbia
rihanna,american oxygen
rihanna,sm
rihanna,we found love (feat. calvin harris)
rihanna,dont stop the music
rihanna,consideration
rihanna,shut up and drive
rihanna,tony pelton vs rihanna - where have you been
rihanna,love the way you lie (part ii)
rihanna,push up on me - moto blanco
rihanna,umbrella
rihanna,fourfiveseconds
rihanna,pour it up
rise against,wait for me
rise against,prayer of the refugee
rise against,re-education (through labor)
rise against,hairline fracture
rise against,ready to fall
rise against,swing life away
rise against,collapse (post-amerika)
rise against,survive
rise against,dead ringer
rise against,the eco-terrorist in me
rise against,broken english
rise against,savior
rise against,audience of one
rise against,give it all
rittz,in my zone
rixton,wait on me
rixton,me and my broken heart
rizzle kicks,mama do the hump
rizzle kicks,when i was a youngster
rizzle kicks,skip to the good bit
rizzle kicks,down with the trumpets
rizzle kicks,tell her
rob thomas,this is how a heart breaks
rob zombie,dragula
robert palmer,she makes my day
robert palmer,addicted to love
robin schulz,sun goes down (feat. jasmine thompson) - radio mix
robin thicke,blurred lines
robyn,dancing on my own
robyn sherwell,islander
roger bart,go the distance
roisto,apart in love
romance on a rocketship,skin bones
romeo santos,por un segundo - live - the king stays king version
romeo santos,propuesta indecente
rooney,when did your heart go missing
rooney,i cant get enough
rosemary clooney,fancy meeting you here - remastered
roxy music,eight miles high - 1999 digital remaster
roy orbison,oh pretty woman
roy orbison,you got it
royal blood,hole
royal blood,ten tonne skeleton
royal crown revue,hey pachuco
royal liverpool philharmonic orchestra,all of me
royal tongues,higher
royksopp,remind me - radio edit
royksopp,monument (the inevitable end version)
royksopp,what else is there
royksopp,do it again
rudimental,feel the love - feat. john newman
rudimental,not giving in
rudimental,lay it all on me (feat. big sean vic mensa ed sheeran) - rudi vip mix
rudimental,lay it all on me - rudi vip mix
run the jewels,blockbuster night part 1
rund.m.c.,walk this way (feat. aerosmith)
rush,the trees
rush,tom sawyer
rush,2112: overture / the temples of syrinx / discovery / presentation / oracle / soliloquy / grand finale - medley
rush,yyz
rush,working man
rush,limelight
russ,what they want
rusted root,send me on my way
rustie,attak (feat. danny brown)
ryan adams,feels like fire
ryan adams,jacksonville - paxam single series vol. 2
ryan adams,bad blood
ryan cabrera,true
s club 7,bring it all back
said the whale,i love you
saint motel,destroyer
saint motel,at least i have nothing
saint motel,for elise
saint motel,getaway
saint motel,you can be you
saint motel,dear dictator
saint motel,born again
saint motel,slow motion
saint motel,sweet talk
saint motel,local long distance relationship (la2ny)
saint motel,midnight movies
saint motel,move
saint motel,happy accidents
saint petersburg radio and tv symphony orchestra,the sleeping beauty op. 66 act i no.6: valse (waltz)
sam cooke,cupid
sam cooke,(what a) wonderful world
sam feldt,midnight hearts - extended mix
sam hunt,body like a back road
sam hunt,ex to see
sam hunt,leave the night on
sam smith,im not the only one
sam smith,stay with me
sam sparro,pocket
sam sparro,21st century life
sammy adams,just sayin
sammy adams,l.a. story
sammy adams,all night longer
sammy adams,coast 2 coast
sammy adams,yea yea
sammy adams,action
sammy adams,you girl
sammy adams,comin up
sammy davis jr.,paris is at her best in may
sammy davis jr.,the candy man
sammy hagar,boys night out
samuel e. wright,under the sea
san cisco,no friends
san cisco,too much time together
san cisco,awkward - ep version
san cisco,hey did i do you wrong
sanctus real,pray
santana,smooth
santana,smooth (feat. rob thomas)
santigold,l.e.s. artistes
sara bareilles,i choose you
sara hartman,buttons
savage,swing
savannah outen,out of the woods (acoustic) feat. jake coco
saves the day,at your funeral
saving abel,addicted
saxon shore,replacement driver
saxon shore,a greatness at the cost of goodness
say anything,colorblind
say anything,belt
saywecanfly,heaven is hell
sbtrkt,temporary view
sbtrkt,new dorp. new york
scarlet grey,a pirates song
scatman john,scatman (ski-ba-bop-ba-dop-bop) - basic-radio
scenes from a movie,if its my game i cant lose
scenes from a movie,just ask us
school boy humor,this world
schoolboy q,x (with 2 chainz saudi)
schoolboy q,collard greens
schoolboy q,break the bank
schoolboy q,hands on the wheel
schoolboy q,that part
schoolboy q,man of the year
schoolyard heroes,bury the tooth of the hydra and a skeleton army will arise
scissor sisters,take your mama
scorpions,rock you like a hurricane
scott bradlees postmodern jukebox,cant stop the feeling
scott bradlees postmodern jukebox,mr brightside
scott bradlees postmodern jukebox,me
scott bradlees postmodern jukebox,really dont care
scott bradlees postmodern jukebox,just dance
scott bradlees postmodern jukebox,mmmbop
scott bradlees postmodern jukebox,dancing with myself
scott bradlees postmodern jukebox,timber
scott bradlees postmodern jukebox,stacys mom
scott bradlees postmodern jukebox,look what you made me do
scott bradlees postmodern jukebox,thrift shop
scott joplin,the entertainer
scott joplin,maple leaf rag
seal,kiss from a rose - acoustic version
sean kingston,beat it
sean paul,temperature
searchlight,contagious
seaway,sabrina the teenage bitch
secondhand serenade,belong to (bonus track)
secondhand serenade,fall for you
seinabo sey,younger (kygo remix)
seinabo sey,pistols at dawn
selena gomez,kill em with kindness
selena gomez,come get it
semisonic,closing time
senses fail,buried a lie
senses fail,cant be saved
senses fail,renacer
september,party in my head
set it off,why worry
seven lions,the fall
sex bob-omb,we are sex bob-omb
shaed,trampoline
shaggy,it wasnt me
shakey graves,dearly departed (feat. esme patterson)
shakey graves,only son
shakey graves,the perfect parts
shakira,she wolf
shakira,te aviso te anuncio
shakira,antologia
shakira,octavo dia
shakira,loba
shakira,waka waka (this time for africa) the official 2010 fifa world cup (tm) song
shakira,obtener un si
sharpay,you are the music in me
shaun,way back home (feat. conor maynard) - sam feldt edit
shawn mendes,one of those nights
shawn mendes,something big
shawn mendes,a little too much
sheppard,geronimo
sheppard,find someone
sheryl crow,soak up the sun
sheryl crow,all i wanna do
shinedown,second chance
show me the skyline,far from being a star
shwayze,better than most loves
shwayze,drunk off your love (feat. sky blu of lmfao)
shwayze,island in the sun
sia,breathe me
sia,cheap thrills
sia,youre never fully dressed without a smile
sick puppies,maybe
sideview,super mario bros - remix
silverstein,apologize
silverstein,already dead - live
silverstein,red light pledge
silverstein,first wrapped in blood - live
silverstein,american dream - live
silversun pickups,lazy eye
silversun pickups,three seed
silversun pickups,latchkey kids
silversun pickups,kissing families
simon garfunkel,mrs. robinson
simon garfunkel,cecilia
simple minds,dont you (forget about me)
simple plan,id do anything
simple plan,your love is a lie
simple plan,welcome to my life
simple plan,problem child
simple plan,when im gone
simple plan,perfect
simple plan,im just a kid
simple plan,where i belong (feat. we the kings)
simple plan,untitled
simply three,take me to church
sin bandera,sirena
sinead oconnor,nothing compares 2 u
sing it loud,ive got a feeling
sing it loud,come around (acoustic)
sing it loud,bite your lip
single file,dont hate
single file,miss cherry lipgloss
single file,girlfriends
single file,zombies ate my neighbors
siouxsie and the banshees,o baby
sir michael rocks,memo
sir sly,you haunt me
sister hazel,change your mind
skankshot,braineating zombies from area 51
skeewiff,dont rock the boat (bart baker remix)
skid row,youth gone wild
skid row,18 and life
skizzy mars,be lazy
skrillex,recess
skybombers,it goes off
skylar grey,coming home - part ii
skylar grey,cmon let me ride
skylar grey,get lucky - vevo version
skylar grey,i know you - from the fifty shades of grey soundtrack
skylar spence,fiona coyne
slayer,raining blood
slayer,angel of death
slayer,black magic
sleep party people,im not human at all
sleeping with sirens,fk you
sleepmakeswaves,its dark its cold its winter
sleepy tom,pusher (feat. anna lunoe)
slick shoes,hide and seek - wake up screaming album version
slipknot,duality
sly the family stone,everyday people
smallpools,million bucks
smallpools,dreaming
smallpools,karaoke
smallpools,passenger side
smash mouth,im a believer - soundtrack version
smash mouth,im a believer - radio edit
smash mouth,walkin on the sun
smash mouth,all star
smile empty soul,californias lonely (acoustic version)
snow patrol,chasing cars
soak,sea creatures
social code,10 seconds to go
social code,the shortest line
social code,forever always ends - acoustic
social code,the best you never had
social code,without you
social code,dont tell me
social distortion,story of my life
soda fabric,teenage illusion
soft cell,tainted love
sohn,bloodflows
soil,pride
soko,first love never die
sol,the times (feat. grieves budo)
sol,paint
sol,2020
somekindawonderful,reverse
someone still loves you boris yeltsin,lets get tired
something corporate,i want to save you
something corporate,hurricane
something corporate,i woke up in a car
somo,kings queens (throw it up)
somos,dead wrong
sons of maria,i got a thrill - instrumental club mix
sophie ellis-bextor,murder on the dancefloor - radio edit
soul ii soul,back to life (however do you want me) feat. caron wheeler - 2003 - remaster
soulja boy,turn my swag on
soulja boy,crank that (soulja boy)
sound remedy,we are the dream (feat. carousel)
soundgarden,black hole sun
soundgarden,jesus christ pose
soundgarden,spoonman
sounds of the deep forest,found the beach
spandau ballet,gold
spank rock,back up
sparks the rescue,saco boys have no class
sparks the rescue,skeleton
sparks the rescue,need you now
sparks the rescue,hello mexico
sparks the rescue,autumn
sparks the rescue,we love like vampires
sparks the rescue,my heart radio
sparks the rescue,the gravity
sparta,cut your ribbon
speck,conventional lover (rock band 2 re-record)
spice girls,the lady is a vamp
spin doctors,two princes
spinal tap,tonight im gonna rock you tonight
spinal tap,gimme some money
spoon,the underdog
spoon,knock knock knock
spoon,they want my soul
spose,jimmy
sprung monkey,party like a rock star
squid the whale,the greatest way
sr-71,1985 (original version)
sr-71,goodbye
st. lucia,before the dive
st. lucia,elevate
stacy barthe,flawed beautiful creatures - summer version
stages and stereos,small town favorites
starbomb,its dangerous to go alone
starfucker,while im alive
starfucker,girls just want to have fun
starfucker,rawnald gregory erickson the second
starfucker,malmo
stars,no one is lost
starship,we built this city
starting six,this aint water - explicit
stealers wheel,stuck in the middle with you
stefano,im on a roll (feat. new boyz rock mafia)
stellar kart,procrastinating
stepdad,wolf slaying as a hobby
stephen jerzak,she said
stephen jerzak,pretty pretty girl
stephon alexander rioux,dance of the illusion
steppenwolf,magic carpet ride
stereo dub,safe and sound
stereo skyline,unglued
stereo skyline,man i think i love her
stereos,summer girl
steve acho,hey soul sister (acoustic)
steve aoki,just hold on
steve jablonsky,hold them off
steve jablonsky,if they can ride em
steve jablonsky,finale
steve jablonsky,loss of a leader
steve jablonsky,im not ready to die
steve jablonsky,epilogue
steve jablonsky,buckle up
steve jablonsky,full circle
steve jablonsky,unexpected changes
steve jablonsky,optimus
steve jablonsky,lone survivor
steve miller band,take the money and run
steve miller band,jet airliner - 2003 digital remaster
steve miller band,rockn me
steve miller band,the joker
steve ouimette,the devil went down to georgia
steve vaus,carrie
stevie ray vaughan,pride and joy
stevie wonder,uptight (everythings alright)
stevie wonder,for once in my life
stevie wonder,signed sealed delivered (im yours)
stevie wonder,superstition
stevie wonder,isnt she lovely
stone sour,through glass
stone temple pilots,interstate love song
stone temple pilots,sex type thing
stone temple pilots,shes my queen
stone temple pilots,trippin on a hole in a paper heart
stone temple pilots,fare thee well
stone temple pilots,roll me under
stone temple pilots,vasoline
stormzy,own it (feat. ed sheeran burna boy) - joel corry remix
story of the year,falling down - live
story of the year,anthem of our dying day - live
story of the year,dive right in - live
story of the year,page avenue - live
story of the year,until the day i die
story of the year,sidewalks
strange talk,climbing walls
strange talk,eskimo boy
strange talk,morning sun - dillon francis remix
strange talk,cast away
stray cats,rock this town - single edit1999 digital remaster
straylight run,existentialism on prom night
streams of dreams,softly sampled nature sounds
street drum corps,knock me out
striking matches,hanging on a lie
string tribute players,all these thing i hate (revolve around me)
string tribute players,fine again
stroke 9,kick some ass
stromae,alors on danse
strung out,bark at the moon
studio killers,in tokyo
sturgill simpson,in bloom
stutterfly,formula of flesh
stutterfly,fire whispers
styx,come sail away
styx,mr. roboto
styx,renegade
sublime,what i got
sublime,date rape
sublime,santeria
submersed,hollow
submersed,rewind
submersed,an artist prayer
sufjan stevens,a little lost
sugar ray,every morning - remastered
sugar ray,abracadabra
sugar ray,when its over - remastered
sugarbomb,hello
sugarcult,bouncing off the walls
sugarcult,los angeles
sugarcult,memory
suicide silence,you only live once
sum 41,fat lip
sum 41,skumfuk
sum 41,still waiting
sum 41,the hell song
sum 41,in too deep
sundara karma,loveblood
superchick,its on
supertramp,goodbye stranger - remastered version/2010
supertramp,goodbye stranger - 2010 remastered
survivor,eye of the tiger
suvi,find you
swedish house mafia ft. carly rae jepsen,call me greyhound (kap slap bootleg)
sweet,ballroom blitz
sweet,fox on the run
swing republic,crazy in love - electro swing version
swing republic,crazy in love - radio edit
swing republic,peas and rice
swingrowers,pump up the jam
switchfoot,meant to live
switchfoot,mess of me
switchfoot,stars
switchfoot,oh gravity.
syml,girl - acoustic
system of a down,chop suey
system of a down,b.y.o.b.
system of a down,toxicity
t-pain,buy u a drank (shawty snappin)
t-pain,dan bilzerian
t-pain,bartender
t.i.,live your life (feat. rihanna)
t.i.,paperwork
taio cruz,break your heart
take the crown,somewhere waiting
taken by trees,sweet child o mine
taking back sunday,cute without the e (cut from the team)
taking back sunday,makedamnsure
taking back sunday,liar (it takes one to know one)
taking back sunday,a decade under the influence
tal bachman,shes so high
talking heads,psycho killer - 2005 remastered version
talking heads,burning down the house (45 version)
tally hall,greener
tally hall,turn the lights off
tally hall,hidden in the sand
tame impala,elephant
tame impala,the less i know the better
tanlines,brothers
tanlines,all of me
tape five,dixie biscuit
tape five,geraldines routine
tat,road to paradise
taylor swift,how you get the girl
taylor swift,treacherous
taylor swift,this is why we cant have nice things
taylor swift,back to december
taylor swift,i knew you were trouble.
taylor swift,we are never ever getting back together
taylor swift,the story of us
taylor swift,...ready for it
taylor swift,sparks fly
taylor swift,love story
taylor swift,dont blame me
taylor swift,new romantics
taylor swift,new years day
taylor swift,haunted - acoustic
taylor swift,ours - live/2011
taylor swift,style
taylor swift,fifteen
taylor swift,22
taylor swift,our song - instrumental w/ bg vocals
taylor swift,paper rings
taylor swift,teardrops on my guitar
taylor swift,end game
taylor swift,crazier
taylor swift,untouchable
taylor swift,forever always
taylor swift,stay stay stay
taylor swift,last kiss - live/2011
taylor swift,sad beautiful tragic
taylor swift,if this was a movie
taylor swift,i almost do
taylor swift,welcome to new york
taylor swift,call it what you want
taylor swift,clean
taylor swift,you need to calm down
taylor swift,style (the 1989 world tour)
taylor swift,you are in love
taylor swift,picture to burn
taylor swift,only the young - featured in miss americana
taylor swift,dress
taylor swift,lover - first dance remix
taylor swift,so it goes...
taylor swift,me (feat. brendon urie of panic at the disco)
taylor swift,wildest dreams
taylor swift,red
taylor swift,dancing with our hands tied
taylor swift,i think he knows
taylor swift,never grow up
taylor swift,lover (remix) feat. shawn mendes
taylor swift,red - original demo recording
taylor swift,the way i loved you
taylor swift,white horse
taylor swift,miss americana the heartbreak prince
taylor swift,you belong with me
taylor swift,lover
taylor swift,september - recorded at the tracking room nashville
taylor swift,fearless
taylor swift,mean
taylor swift,mine - live/2011
taylor swift,the man
taylor swift,i know places
taylor swift,superman
taylor swift,state of grace
taylor swift,i forgot that you existed
taylor swift,gorgeous
taylor swift,the archer
taylor swift,shake it off
taylor swift,wonderland
taylor swift,beautiful ghosts - from the motion picture cats
taylor swift,the last time
taylor swift,mine
taylor swift,i wish you would
taylor swift,out of the woods
taylor swift,mine - pop mix
taylor swift,the best day
taylor swift,holy ground
taylor swift,death by a thousand cuts
taylor swift,enchanted
taylor swift,soon youll get better (feat. dixie chicks)
taylor swift,all you had to do was stay
taylor swift,superstar
taylor swift,london boy
taylor swift,king of my heart
taylor swift,false god
taylor swift,begin again
taylor swift,everything has changed
taylor swift,afterglow
taylor swift,cruel summer
taylor swift,tim mcgraw
taylor swift,cornelia street
taylor swift,delicate
taylor swift,i did something bad
teammate,goldmine
tear da club up thugs,slob on my nob
tears for fears,everybody wants to rule the world
tears for fears,head over heels - dave bascombe 7 n.mix
tears for fears,shout
tech n9ne,speedom (wwc2)
technotronic,pump up the jam
tennis,origins
tennis,never work for free
tensnake,feel of love - radio edit
tep no,the last ones standing
testament,souls of black
thao the get down stay down,holy roller
that handsome devil,viva discordia
that handsome devil,elephant bones
the 1975,chocolate
the 2 bears,not this time
the academy is...,about a girl
the academy is...,almost here
the academy is...,season
the academy is...,summer hair forever young
the academy is...,the phrase that pays
the academy is...,rumored nights
the academy is...,lax to ohare
the afters,moments like this
the afters,myspace girl
the agony scene,paint it black
the album leaf,another day (revised)
the album leaf,the light
the album leaf,twentytwofourteen
the album leaf,a day in the life
the all-american rejects,kids in the street
the all-american rejects,gives you hell
the all-american rejects,mona lisa (when the world comes down)
the all-american rejects,swing swing
the all-american rejects,dirty little secret
the all-american rejects,stab my back
the all-american rejects,move along
the all-american rejects,it ends tonight
the all-american rejects,top of the world
the all-american rejects,fallin apart
the all-american rejects,another heart calls
the almost,say this sooner
the american dollar,anything you synthesize - ambient
the american dollar,peterson (the american dollar)
the american dollar,signaling through the flames
the archies,sugar sugar
the ataris,in this diary
the ataris,the boys of summer
the ataris,so long astoria
the audition,basbhat
the audition,the ultimate cover up
the audition,its gonna be hard
the audition,my temperatures rising
the automatic,monster - us album version
the automatic,on the campaign trail - us album version
the automatic,thats what she said
the b-52s,love shack
the band perry,if i die young
the bangles,manic monday
the bangles,walk like an egyptian
the barr brothers,valhallas
the beach boys,wouldnt it be nice - 1999 - remaster
the beach boys,good vibrations - 2001 - remaster
the beatards,get lite
the beatles,while my guitar gently weeps - remastered
the beatles,a hard days night - remastered
the beatles,come together
the beatles,she came in through the bathroom window
the beatles,i want to hold your hand - remastered 2015
the beatles,octopuss garden - remastered 2009
the beatles,golden slumbers
the beatles,love me do - remastered
the beatles,yesterday - remastered
the beatles,i am the walrus
the beatles,ticket to ride
the beatles,hey jude
the beatles,here comes the sun
the beatles,twist and shout - remastered
the big bopper,chantilly lace
the black crowes,hard to handle
the black dahlia murder,moonlight equilibrium
the black dahlia murder,statutory ape
the black dahlia murder,necropolis
the black eyed peas,ritmo (bad boys for life)
the black ghosts,full moon
the black keys,set you free
the black keys,tighten up
the black keys,everlasting light
the black keys,youre the one
the black keys,lonely boy
the black keys,gold on the ceiling
the brobecks,small cuts
the buggles,video killed the radio star
the buzzhorn,rhino
the cab,one of those nights
the cab,disturbia (rihanna cover)
the cab,angel with a shotgun
the cab,animal
the cab,ill run
the cab,bounce
the cab,i am who i am feat. eloquent
the cab,bad
the cab,intoxicated
the cars,you might think
the cars,just what i needed
the cataracs,undercover
the cataracs,top of the world
the cataracs,all you
the chainsmokers,until you were gone - boehm remix
the chainsmokers,kanye - louis the child remix
the chainsmokers,selfie
the chainsmokers,family
the chainsmokers,paris
the chainsmokers,dont let me down
the chiffons,one fine day
the chords,sh-boom - single version
the clash,train in vain - remastered
the clash,rock the casbah - remastered
the clash,should i stay or should i go
the classic crime,the coldest heart
the click five,angel to you (devil to me)
the click five,good day
the click five,just the girl
the click five,catch your wave
the click five,pop princess
the clovers,love potion no. 9 - remastered / single version
the coasters,down in mexico
the coasters,yakety yak
the color and sound,graves
the colourist,what can i say
the colourist,say you need me
the colourist,wishing wells
the colourist,we wont go home
the colourist,oh goodbye
the confession,time is gone
the corrs,everybody hurts - mtv unplugged version
the cranberries,linger
the crickets,maybe baby
the cure,just like heaven
the dangerous summer,the permanent rain
the dangerous summer,where i want to be
the darkness,i believe in a thing called love
the deans list,light up the sky (feat. dani ummel)
the deans list,hollywood
the deans list,ill be okay
the deans list,burn it all
the death set,negative thinking
the decemberists,the legionnaires lament
the dirty heads,my sweet summer
the dirty heads,sound of change
the donnas,take it off
the doobie brothers,listen to the music - with blake shelton and hunter hayes on guitar
the doors,break on through (to the other side)
the downtown fiction,freak
the downtown fiction,i just wanna run
the downtown fiction,thanks for nothing
the drifters,under the boardwalk
the echelon effect,branches and constellations
the echelon effect,as the lights fade away
the echelon effect,monterey
the electric swing circus,everybody wants to be a cat
the evolved,the charr triumphant (from guild wars 2)
the exies,normal
the exies,once in a lifetime
the exies,my ordinary world
the fall of troy,f.c.p.r.e.m.i.x.
the features,two hearts
the flaming lips,do you realize
the format,she doesnt get it
the foundations,build me up buttercup
the four tops,i cant help myself (sugar pie honey bunch)
the fratellis,starcrossed losers
the fratellis,chelsea dagger
the fratellis,henrietta
the fratellis,mistress mabel
the fratellis,for the girl
the fratellis,medusa in chains
the fray,how to save a life
the freshman,hello there - street
the friday night boys,stuttering
the gaslight anthem,1000 years
the gaslight anthem,howl
the gaslight anthem,45
the gaslight anthem,stay vicious
the go-gos,we got the beat - 2011 - remaster
the go-gos,we got the beat - single mix
the go-gos,vacation
the grand gestures,the world will break your heart
the griswolds,down and out
the grtns,greatness
the higher,its only natural
the hit co.,september 99 (phats small remix)
the hives,two-timing touch and broken bones
the hives,tick tick boom
the hives,hate to say i told you so
